timestamp_ms,qw,qx,qy,qz,flex_thumb,flex_upper_index,flex_lower_index,flex_upper_middle,flex_lower_middle
1,0.9997,0.0067,-0.0211,-0.0097,1.0,0.0,0.0,0.0,0.015
124,0.9997,0.006,-0.0212,-0.0098,1.0,0.0,0.0,0.0,0.009
252,0.9997,0.0058,-0.0214,-0.0098,1.0,0.0,0.0,0.0,0.04
377,0.9997,0.0063,-0.0212,-0.0103,1.0,0.0,0.0,0.0,0.0
504,0.9997,0.0065,-0.0212,-0.0102,1.0,0.0,0.0,0.0,0.019
631,0.9997,0.0059,-0.0212,-0.0102,1.0,0.0,0.0,0.0,0.037
753,0.9997,0.0057,-0.0214,-0.0102,1.0,0.0,0.0,0.0,0.0
876,0.9997,0.0054,-0.0216,-0.0103,1.0,0.0,0.0,0.0,0.012
1003,0.9997,0.0052,-0.0216,-0.0103,1.0,0.0,0.0,0.0,0.022
1130,0.9997,0.0056,-0.0215,-0.0103,1.0,0.0,0.0,0.0,0.02
1253,0.9997,0.0055,-0.0215,-0.0103,1.0,0.0,0.0,0.0,0.0
1379,0.9997,0.0051,-0.0217,-0.0103,1.0,0.0,0.0,0.0,0.012
1501,0.9997,0.0052,-0.0215,-0.0102,1.0,0.0,0.0,0.0,0.019
1625,0.9997,0.0052,-0.0215,-0.0102,1.0,0.0,0.0,0.0,0.006
1748,0.9997,0.0051,-0.0216,-0.0102,1.0,0.0,0.0,0.0,0.115
1873,0.9997,0.0046,-0.0217,-0.0102,1.0,0.038,0.084,0.273,0.268
1998,0.9997,0.0043,-0.0219,-0.0103,1.0,0.329,0.216,0.815,0.489
2122,0.9997,0.004,-0.0219,-0.0103,1.0,0.672,0.202,1.0,0.483
2250,0.9997,0.0038,-0.022,-0.0103,1.0,0.814,0.187,1.0,0.443
2378,0.9997,0.004,-0.0219,-0.0103,1.0,0.819,0.304,1.0,0.489
2501,0.9997,0.0042,-0.0219,-0.0103,1.0,0.746,0.573,1.0,0.604
2630,0.9997,0.0042,-0.0218,-0.0103,1.0,0.92,0.755,1.0,0.746
2756,0.9997,0.0042,-0.0217,-0.0103,1.0,0.92,0.846,1.0,1.0
2879,0.9997,0.003,-0.0222,-0.0103,1.0,0.903,0.823,1.0,0.777
3006,0.9997,0.0023,-0.0224,-0.0103,1.0,0.867,0.798,1.0,0.777
3130,0.9997,0.0023,-0.0224,-0.0103,1.0,0.878,0.795,1.0,0.751
3256,0.9997,0.0018,-0.0223,-0.0103,1.0,0.861,0.818,1.0,0.74
3380,0.9997,0.0013,-0.0225,-0.0103,1.0,0.842,0.82,1.0,0.76
3509,0.9997,0.0019,-0.0222,-0.0103,1.0,0.881,0.827,1.0,0.759
3630,0.9997,0.0013,-0.0223,-0.0102,1.0,0.85,0.716,0.857,0.737
3755,0.9997,0.0015,-0.0223,-0.0102,1.0,0.868,0.764,1.0,0.737
3880,0.9997,0.0018,-0.0221,-0.0102,1.0,0.832,0.743,1.0,0.759
4007,0.9997,0.0021,-0.0219,-0.0102,1.0,0.808,0.789,1.0,0.734
4130,0.9997,0.0025,-0.0218,-0.0102,1.0,0.826,0.755,1.0,0.841
4254,0.9997,0.0013,-0.0221,-0.0103,1.0,0.831,0.795,1.0,0.621
4377,0.9997,0.0005,-0.0223,-0.0102,1.0,0.831,0.734,1.0,0.741
4504,0.9997,-0.0002,-0.0225,-0.0103,1.0,0.805,0.762,1.0,0.728
4629,0.9997,-0.001,-0.0228,-0.0103,1.0,0.87,0.773,1.0,0.729
4755,0.9997,-0.0004,-0.0225,-0.0103,1.0,0.912,0.72,1.0,0.704
4879,0.9997,-0.0007,-0.0226,-0.0103,1.0,0.842,0.42,1.0,0.557
5003,0.9997,0.0004,-0.0222,-0.0102,1.0,0.723,0.059,1.0,0.212
5127,0.9997,0.0005,-0.0222,-0.0103,1.0,0.45,0.0,0.982,0.011
5260,0.9997,0.0003,-0.0223,-0.0102,1.0,0.172,0.0,0.466,0.0
5376,0.9997,0.0008,-0.0222,-0.0103,1.0,0.0,0.0,1.0,0.0
5504,0.9997,0.0018,-0.0217,-0.0102,1.0,0.0,0.0,0.0,0.0
5627,0.9997,0.0026,-0.0214,-0.0103,1.0,0.0,0.0,0.0,0.0
5752,0.9997,0.0034,-0.0212,-0.0103,1.0,0.0,0.0,0.0,0.0
5875,0.9997,0.0041,-0.0212,-0.0103,1.0,0.0,0.0,0.0,0.0
6000,0.9997,0.0043,-0.0213,-0.0103,1.0,0.0,0.0,0.0,0.0
6124,0.9997,0.0041,-0.0214,-0.0103,1.0,0.0,0.0,0.0,0.0
6252,0.9997,0.004,-0.0214,-0.0103,1.0,0.0,0.0,0.0,0.0
6380,0.9997,0.0042,-0.0214,-0.0103,1.0,0.0,0.0,0.0,0.0
6503,0.9997,0.0041,-0.0214,-0.0103,1.0,0.0,0.0,0.018,0.0
6630,0.9997,0.0036,-0.0215,-0.0103,1.0,0.0,0.0,0.234,0.0
6753,0.9997,0.0035,-0.0216,-0.0103,1.0,0.0,0.023,0.378,0.102
6878,0.9997,0.0031,-0.0218,-0.0103,1.0,0.12,0.1,0.76,0.246
7003,0.9997,0.0032,-0.0217,-0.0103,1.0,0.399,0.157,1.0,0.317
7129,0.9997,0.0034,-0.0216,-0.0103,1.0,0.626,0.477,1.0,0.458
7252,0.9997,0.0034,-0.0217,-0.0103,1.0,0.707,0.252,1.0,0.502
7378,0.9997,0.0034,-0.0216,-0.0103,1.0,1.0,0.223,1.0,0.44
7502,0.9997,0.0035,-0.0216,-0.0103,1.0,0.849,0.393,1.0,0.498
7629,0.9997,0.0035,-0.0216,-0.0103,1.0,0.875,0.614,1.0,0.635
7756,0.9997,0.0035,-0.0217,-0.0103,1.0,0.908,0.73,1.0,0.656
7880,0.9997,0.0035,-0.0217,-0.0103,1.0,0.867,0.734,1.0,0.737
8008,0.9997,0.0029,-0.0217,-0.0103,1.0,0.864,0.738,1.0,0.752
8131,0.9997,0.0023,-0.0219,-0.0103,1.0,0.889,0.818,1.0,0.811
8256,0.9997,0.0013,-0.0222,-0.0103,1.0,0.889,0.852,1.0,0.788
8384,0.9997,0.0009,-0.0224,-0.0104,1.0,0.836,0.802,1.0,0.822
8508,0.9997,0.0011,-0.0224,-0.0103,1.0,0.889,0.816,1.0,0.74
8635,0.9997,0.0014,-0.0223,-0.0103,1.0,0.847,0.28,1.0,0.749
8758,0.9997,0.0017,-0.022,-0.0103,1.0,0.864,0.743,1.0,0.783
